CountyDistrictSchool|School Year|SPED Percentage
150536000|20102011|0.1395
150536000|20112012|0.1490
150536000|20122013|0.1683
150536000|20132014|0.1675
160006000|20092010|0.1254
160006000|20102011|0.1431
160006000|20112012|0.1433
160006000|20122013|0.1409
160006000|20132014|0.1528
160030000|20092010|0.0855
160030000|20102011|-1.0000
160030000|20112012|0.1143
160030000|20122013|0.1111
160030000|20132014|0.0902
170001000|20092010|0.1501
170001000|20102011|0.1491
170001000|20112012|0.1370
170001000|20122013|0.1074
170001000|20132014|0.1526
170003000|20092010|0.0901
170003000|20102011|0.1084
170003000|20112012|0.1463
170003000|20122013|0.1221
170003000|20132014|0.1296
170009000|20092010|0.1361
170009000|20102011|0.1480
170009000|20112012|0.0914
170009000|20122013|0.1231
170009000|20132014|0.1347
180002000|20092010|0.1035
180002000|20102011|0.1019
180002000|20112012|0.1010
180002000|20122013|0.1073
180002000|20132014|0.1447
180011000|20092010|0.1667
180011000|20102011|0.1715
180011000|20112012|0.1918
180011000|20122013|0.1975
180011000|20132014|0.2736
180070000|20092010|0.2023
190039000|20092010|0.0676
190039000|20102011|-1.0000
190039000|20112012|0.0736
190039000|20122013|-1.0000
190039000|20132014|0.0774
190058000|20092010|0.1351
190058000|20102011|0.1782
190058000|20112012|0.2093
190058000|20122013|0.2198
190058000|20132014|0.2247
190059000|20092010|0.1500
190059000|20102011|0.1667
190070000|20122013|0.1429
190070000|20132014|0.1493
190123000|20092010|0.0841
190123000|20102011|0.0867
190123000|20112012|0.0883
190123000|20122013|0.0837
190123000|20132014|0.1002
192001000|20112012|0.1628
200001000|20092010|0.2071
200001000|20102011|0.2119
200001000|20112012|0.1902
200001000|20122013|0.1852
200001000|20132014|0.1860
200020000|20092010|0.1246
200020000|20102011|0.1020
200020000|20112012|0.0859
200020000|20122013|0.0772
200020000|20132014|0.0847
200030000|20092010|0.1143
200030000|20102011|0.1296
200030000|20112012|0.1563
200030000|20122013|0.1488
200030000|20132014|0.1714
210015000|20092010|0.1618
210015000|20102011|0.1720
210015000|20112012|0.1779
210015000|20122013|0.1645
210015000|20132014|0.1422
210025000|20092010|0.1689
210025000|20102011|0.1692
210025000|20112012|0.1876
210025000|20122013|0.1674
210025000|20132014|0.2032
210044000|20092010|0.1703
210044000|20102011|0.1585
210044000|20112012|0.1813
210044000|20122013|0.1515
210044000|20132014|0.1923
210084000|20092010|0.0588
210084000|20102011|0.0819
210084000|20112012|0.0778
210084000|20122013|0.1061
210084000|20132014|0.1207
210089000|20092010|0.2109
210089000|20102011|0.1951
210089000|20112012|0.1953
210089000|20122013|0.1473
210089000|20132014|0.1441
210180000|20092010|0.1512
210180000|20102011|0.1897
210180000|20112012|0.1869
210180000|20122013|0.2222
210180000|20132014|0.1823
220011000|20092010|0.1330
220011000|20102011|0.1405
220011000|20112012|0.1242
220011000|20122013|0.1258
220011000|20132014|0.1422
220031000|20092010|0.1406
220031000|20102011|0.1467
220031000|20112012|0.1455
220031000|20122013|0.1578
220031000|20132014|0.1727
230002000|20092010|0.1121
230002000|20102011|0.0997
230002000|20112012|0.0853
230002000|20122013|0.0979
230002000|20132014|0.0976
230071000|20092010|0.1883
230071000|20102011|0.2143
230071000|20112012|0.1862
230071000|20122013|0.1803
230071000|20132014|0.1878
240001000|20092010|0.1277
240001000|20102011|0.1180
240001000|20112012|0.1049
240001000|20122013|0.0922
240001000|20132014|0.0985
240004000|20092010|0.1646
240004000|20102011|0.1824
240004000|20112012|0.1589
240004000|20122013|0.1522
240004000|20132014|0.1438
240011000|20092010|0.1595
240011000|20102011|0.1732
240011000|20112012|0.1665
240011000|20122013|0.1360
240011000|20132014|0.1389
240020000|20092010|0.1265
240020000|20102011|0.1241
240020000|20112012|0.1166
240020000|20122013|0.1219
240020000|20132014|0.1457
240101000|20092010|0.2053
240101000|20102011|0.1961
240101000|20112012|0.2263
240101000|20122013|0.2234
240101000|20132014|0.2147
250025000|20092010|0.1349
250025000|20102011|0.1147
250025000|20112012|0.1008
250025000|20122013|0.1012
250025000|20132014|0.1328
250095000|20092010|0.1266
250095000|20102011|0.1105
250095000|20112012|0.1450
250095000|20132014|0.1829
260001000|20092010|0.1425
260001000|20102011|0.1279
260001000|20112012|0.1369
