id|year|reading_avg_score|reading_grade|reading_basic_pct|reading_proficient_pct|reading_advanced_pct|reading_not_tested_pct|concat_join_id
010018005|2012-2013|95.65|03|0.33|0.61|-1.00|0|0100180052012-2013
010018005|2013-2014|118.34|03|-1.00|0.66|0.26|0|0100180052013-2014
010018005|2014-2015|126.46|03|0.11|0.54|0.35|0|0100180052014-2015
010018005|2011-2012|91.98|04|0.46|0.37|0.17|0|0100180052011-2012
010018005|2012-2013|99.09|04|0.34|0.47|0.19|0|0100180052012-2013
010018005|2013-2014|122.79|04|-1.00|0.62|0.30|0|0100180052013-2014
010018005|2014-2015|116.18|04|0.18|0.51|0.31|0|0100180052014-2015
010018005|2011-2012|76.11|05|0.61|0.34|-1.00|0|0100180052011-2012
010018005|2012-2013|88.19|05|0.46|0.44|0.10|0|0100180052012-2013
010018005|2013-2014|118.30|05|0.23|0.45|0.33|0|0100180052013-2014
010018005|2014-2015|125.41|05|0.13|0.48|0.39|0|0100180052014-2015
010018006|2011-2012|108.21|03|0.23|0.60|0.18|0|0100180062011-2012
010018006|2012-2013|115.49|03|0.19|0.56|0.25|0|0100180062012-2013
010018006|2013-2014|115.76|03|0.15|0.61|0.24|0|0100180062013-2014
010018006|2014-2015|125.05|03|0.08|0.58|0.34|0|0100180062014-2015
010018006|2011-2012|115.96|04|0.20|0.41|0.39|0|0100180062011-2012
010018006|2012-2013|114.25|04|0.25|0.44|0.31|0|0100180062012-2013
010018006|2013-2014|125.66|04|0.19|0.40|0.42|0|0100180062013-2014
010018006|2014-2015|123.12|04|0.16|0.42|0.42|0|0100180062014-2015
010018006|2011-2012|110.68|05|0.22|0.48|0.30|0|0100180062011-2012
010018006|2012-2013|121.09|05|0.11|0.58|0.32|0|0100180062012-2013
010018006|2013-2014|113.88|05|0.29|0.38|0.33|0|0100180062013-2014
010018006|2014-2015|125.67|05|0.26|0.29|0.45|0|0100180062014-2015
010018007|2011-2012|106.79|03|0.26|0.53|0.21|0|0100180072011-2012
010018007|2012-2013|102.02|03|0.18|0.78|-1.00|0|0100180072012-2013
010018007|2013-2014|113.96|03|0.18|0.61|0.22|0|0100180072013-2014
010018007|2014-2015|123.70|03|-1.00|0.63|0.35|0|0100180072014-2015
010018007|2011-2012|94.76|04|0.37|0.59|-1.00|0|0100180072011-2012
010018007|2012-2013|127.95|04|-1.00|0.54|0.35|0|0100180072012-2013
010018007|2013-2014|115.09|04|0.11|0.68|0.21|0|0100180072013-2014
010018007|2014-2015|130.72|04|-1.00|0.41|0.50|0|0100180072014-2015
010018007|2011-2012|112.74|05|0.31|0.33|0.36|0|0100180072011-2012
010018007|2012-2013|98.63|05|0.37|0.43|0.20|0|0100180072012-2013
010018007|2013-2014|124.97|05|-1.00|0.59|0.30|0|0100180072013-2014
010018007|2014-2015|128.82|05|0.14|0.39|0.47|0|0100180072014-2015
010018008|2011-2012|112.71|03|-1.00|0.54|0.29|0|0100180082011-2012
010018008|2012-2013|104.04|03|0.25|0.63|-1.00|0|0100180082012-2013
010018008|2013-2014|107.46|03|0.29|0.46|0.25|0|0100180082013-2014
010018008|2014-2015|122.83|03|-1.00|0.63|0.29|0|0100180082014-2015
010018008|2011-2012|110.63|04|-1.00|0.58|0.25|0|0100180082011-2012
010018008|2012-2013|113.08|04|0.25|0.50|0.25|0|0100180082012-2013
010018008|2013-2014|105.96|04|0.28|0.52|0.20|0|0100180082013-2014
010018008|2014-2015|113.95|04|-1.00|0.55|0.27|0|0100180082014-2015
010018008|2011-2012|142.22|05|-1.00|-1.00|0.78|0|0100180082011-2012
010018008|2012-2013|138.73|05|-1.00|0.38|0.54|0|0100180082012-2013
010018008|2013-2014|134.04|05|-1.00|0.35|0.48|0|0100180082013-2014
010018008|2014-2015|123.72|05|0.28|0.28|0.44|0|0100180082014-2015
