CountyDistrictSchool|School Year|HAL Percentage
700005000|20092010|0.2245
700542000|20092010|0.2593
710001000|20092010|0.1574
710005000|20092010|-1.0000
710067000|20092010|0.1020
720015000|20092010|0.1784
720019000|20092010|0.2517
720032000|20092010|0.0988
720075000|20092010|0.2016
730017000|20092010|-1.0000
730179000|20092010|-1.0000
740056000|20092010|0.0819
740070000|20092010|0.1206
750100000|20092010|0.2356
760002000|20092010|0.1368
760044000|20092010|0.2029
760068000|20092010|0.1185
760082000|20092010|0.1442
770001000|20092010|0.1463
770027000|20092010|0.1020
770037000|20092010|0.0928
770046000|20092010|0.2085
774002000|20092010|-1.0000
780001000|20092010|0.1772
780009000|20092010|0.0264
780039000|20092010|0.1333
780072000|20092010|-1.0000
780104000|20092010|0.1802
780107000|20092010|0.1802
790002000|20092010|0.0885
790011000|20092010|0.0972
790016000|20092010|0.0994
790031000|20092010|0.0399
790032000|20092010|0.0512
794001000|20092010|-1.0000
800005000|20092010|0.0458
800009000|20092010|0.0816
800567000|20092010|0.1630
810003000|20092010|0.1358
810010000|20092010|0.0598
820001000|20092010|0.3011
820015000|20092010|0.1346
830500000|20092010|0.1573
840003000|20092010|0.9848
850060000|20092010|0.3200
850070000|20092010|0.0346
852001000|20092010|0.1029
860001000|20092010|0.2022
870001000|20092010|0.3038
870013000|20092010|0.2880
870016000|20092010|-1.0000
870017000|20092010|0.0586
880005000|20092010|0.0516
880021000|20092010|0.2331
890001000|20092010|0.0352
890003000|20092010|0.0896
890024000|20092010|0.1023
900017000|20092010|0.0506
900560000|20092010|0.0995
900595000|20092010|0.2980
910002000|20092010|0.1697
910074000|20092010|-1.0000
920045000|20092010|0.1478
930012000|20092010|0.0775
930083000|20092010|0.0898
930096000|20092010|0.1165
934001000|20092010|-1.0000
000000000|20092010|0.1311
010003000|20102011|0.1434
010018000|20102011|0.1203
010090000|20102011|0.2417
010123000|20102011|0.1905
014001000|20102011|-1.0000
020009000|20102011|0.1821
020018000|20102011|0.2903
022001000|20102011|0.1490
030500000|20102011|0.0943
040001000|20102011|0.1404
050071000|20102011|0.1416
060001000|20102011|0.0951
060006000|20102011|0.1603
060017000|20102011|0.1053
070006000|20102011|0.1636
070010000|20102011|0.1164
080036000|20102011|0.2800
080050000|20102011|0.2037
090010000|20102011|0.1534
100002000|20102011|0.0647
100007000|20102011|0.1426
100009000|20102011|0.1173
100019000|20102011|0.1783
100069000|20102011|0.1346
100105000|20102011|0.3112
100119000|20102011|0.0695
100600000|20102011|-1.0000
110001000|20102011|0.1411
110014000|20102011|0.6348
110020000|20102011|0.0699
120032000|20102011|-1.0000
120056000|20102011|0.0565
120502000|20102011|0.2076
130001000|20102011|0.1162
130022000|20102011|0.0442
130032000|20102011|0.1061
130056000|20102011|0.1414
130097000|20102011|0.1970
140008000|20102011|0.0933
140045000|20102011|0.1423
140054000|20102011|0.0669
140101000|20102011|0.1164
140541000|20102011|-1.0000
150010000|20102011|0.1886
150536000|20102011|0.1128
160006000|20102011|0.0556
160030000|20102011|0.1504
170001000|20102011|0.1116
170003000|20102011|-1.0000
170009000|20102011|0.3061
180002000|20102011|0.1288
180011000|20102011|0.1418
190039000|20102011|0.2886
190058000|20102011|0.1941
190059000|20102011|0.3000
190123000|20102011|0.0688
200001000|20102011|0.0911
200020000|20102011|0.0981
200030000|20102011|0.1631
210015000|20102011|0.1159
210025000|20102011|0.1317
210044000|20102011|0.1790
210084000|20102011|0.1607
210089000|20102011|0.1538
210180000|20102011|-1.0000
220011000|20102011|0.0264
220031000|20102011|0.1794
224005000|20102011|-1.0000
230002000|20102011|0.2625
230071000|20102011|0.1416
230601000|20102011|-1.0000
240001000|20102011|0.1084
240004000|20102011|0.0678
240011000|20102011|0.1059
240020000|20102011|0.1169
240101000|20102011|0.1135
250025000|20102011|0.0775
250095000|20102011|0.0706
260001000|20102011|-1.0000
260024000|20102011|0.1119
260070000|20102011|0.1266
260561000|20102011|0.1971
270001000|20102011|0.1053
270046000|20102011|0.1449
270062000|20102011|0.1239
270594000|20102011|0.0674
270595000|20102011|1.0532
280001000|20102011|0.1500
280010000|20102011|0.1360
280015000|20102011|0.1319
280017000|20102011|0.2730
280054000|20102011|0.1474
280059000|20102011|0.1578
280066000|20102011|0.1032
280602000|20102011|-1.0000
284004000|20102011|-1.0000
284005000|20102011|-1.0000
284007000|20102011|-1.0000
284008000|20102011|-1.0000
284011000|20102011|-1.0000
284015000|20102011|-1.0000
284020000|20102011|-1.0000
290117000|20102011|0.1247
300001000|20102011|0.1898
300025000|20102011|0.1061
300054000|20102011|0.0991
300600000|20102011|-1.0000
310506000|20102011|0.0806
320046000|20102011|0.2819
320095000|20102011|0.0878
